atlas_label,n_label_voxels,label_volume [mm³],n_lesion_voxels,lesion_volume [mm³],lesion_volume [percent]
Right BrainstemMidbrainGray MatterSubstania Nigra,0,0,0,0,0
Left BrainstemMidbrainGray MatterRed Nucleus,0,0,0,0,0
Right BrainstemMidbrainGray MatterRed Nucleus,0,0,0,0,0
Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 28,0,0,0,0,0
Right CerebrumLimbic LobeWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite Matter,0,0,0,0,0
Left CerebrumTemporal LobeGray MatterCaudate Tail,0,0,0,0,0
Right CerebrumTemporal LobeCaudateGray MatterCaudate Tail,0,0,0,0,0
Left CerebrumTemporal LobeCaudateGray MatterCaudate Tail,0,0,0,0,0
Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 21,0,0,0,0,0
Left CerebrumTemporal LobeExtra-NuclearWhite Matter,0,0,0,0,0
Left BrainstemMidbrainGray MatterMammillary Body,0,0,0,0,0
Right BrainstemMidbrainGray MatterMammillary Body,0,0,0,0,0
Left CerebrumSub-lobarGray MatterAmygdala,0,0,0,0,0
Right CerebrumWhite Matter,0,0,0,0,0
Right CerebrumSub-lobarGray MatterAmygdala,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterOptic Tract,0,0,0,0,0
Right CerebrumSub-lobarThird VentricleCerebro-Spinal Fluid,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterOptic Tract,0,0,0,0,0
Left CerebrumSub-lobarThird VentricleCerebro-Spinal Fluid,0,0,0,0,0
Left CerebrumSub-lobarGray MatterHypothalamus,0,0,0,0,0
Right CerebrumSub-lobarGray MatterHypothalamus,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumLimbic LobeExtra-NuclearWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeAnterior Cingulate,0,0,0,0,0
Right CerebrumLimbic LobeAnterior Cingulate,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateWhite Matter,0,0,0,0,0
Right CerebrumLimbic LobeExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumTemporal LobeSub-Gyral,0,0,0,0,0
Left CerebrumSub-lobarExtra-Nuclear,0,0,0,0,0
Left CerebrumSub-lobarLentiform NucleusGray MatterPutamen,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 25,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 25,0,0,0,0,0
Right CerebrumSub-lobarLentiform NucleusGray MatterPutamen,0,0,0,0,0
Right CerebrumSub-lobarExtra-Nuclear,0,0,0,0,0
Right CerebrumTemporal LobeSub-Gyral,0,0,0,0,0
Left CerebrumSub-lobarGray Matter,0,0,0,0,0
Right CerebrumSub-lobarGray Matter,0,0,0,0,0
Temporal LobeSuperior Temporal Gyrus,0,0,0,0,0
Left CerebrumFrontal LobeSub-Gyral,0,0,0,0,0
Right CerebrumFrontal LobeSub-Gyral,0,0,0,0,0
Left CerebrumFrontal LobeExtra-Nuclear,0,0,0,0,0
Right CerebrumFrontal LobeExtra-Nuclear,0,0,0,0,0
Left CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 47,0,0,0,0,0
Right CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumFrontal-Temporal Space,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 32,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 32,0,0,0,0,0
Right CerebrumFrontal-Temporal Space,0,0,0,0,0
Left CerebrumFrontal-Temporal SpaceInferior Frontal Gyrus,0,0,0,0,0
Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumFrontal LobeExtra-NuclearGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 47,0,0,0,0,0
Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumFrontal LobeExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumFrontal LobeExtra-NuclearWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 10,0,0,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Left CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumOccipital LobeInferior Occipital GyrusGray MatterBrodmann area 19,0,0,0,0,0
Sub-Gyral,0,0,0,0,0
Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumLimbic LobeLingual GyrusWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 30,0,0,0,0,0
Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 30,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 30,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 27,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 27,0,0,0,0,0
Right CerebrumTemporal LobeWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarCaudateGray MatterCaudate Tail,0,0,0,0,0
Right CerebrumSub-lobarCaudateGray MatterCaudate Tail,0,0,0,0,0
Left BrainstemMidbrainThalamusGray MatterMedial Geniculum Body,0,0,0,0,0
Right BrainstemMidbrainThalamusGray MatterMedial Geniculum Body,0,0,0,0,0
Left CerebrumSub-lobarInsulaWhite Matter,0,0,0,0,0
Right CerebrumMidbrain,0,0,0,0,0
Right CerebrumSub-lobarInsulaWhite Matter,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 22,0,0,0,0,0
Left CerebrumSub-lobarInsulaGray MatterBrodmann area 22,0,0,0,0,0
Right CerebrumSub-lobarInsulaGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumSub-lobarInsulaGray MatterBrodmann area 22,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 22,0,0,0,0,0
Left CerebrumSub-lobarInsulaGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumSub-lobarInsula,0,0,0,0,0
Left CerebrumSub-lobarClaustrumGray Matter,0,0,0,0,0
Right CerebrumSub-lobarClaustrumGray Matter,0,0,0,0,0
Right CerebrumSub-lobarInsula,0,0,0,0,0
Left CerebrumSub-lobarLentiform NucleusGray MatterLateral Globus Pallidus,0,0,0,0,0
Left BrainstemMidbrainGray MatterSubthalamic Nucleus,0,0,0,0,0
Right BrainstemMidbrainGray MatterSubthalamic Nucleus,0,0,0,0,0
Right CerebrumSub-lobarLentiform NucleusGray MatterLateral Globus Pallidus,0,0,0,0,0
Left CerebrumSub-lobarLentiform NucleusGray MatterMedial Globus Pallidus,0,0,0,0,0
Right CerebrumSub-lobarLentiform NucleusGray MatterMedial Globus Pallidus,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 22,0,0,0,0,0
Right BrainstemMidbrainExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 22,0,0,0,0,0
Left CerebrumSub-lobarWhite Matter,0,0,0,0,0
Right CerebrumSub-lobarWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeInsula,0,0,0,0,0
Left CerebrumSub-lobarCaudateGray MatterCaudate Head,0,0,0,0,0
Right CerebrumSub-lobarCaudateGray MatterCaudate Head,0,0,0,0,0
Right CerebrumSub-lobarInsulaGray MatterBrodmann area 47,0,0,0,0,0
Right CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumSub-lobarInsulaGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 24,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 24,0,0,0,0,0
Right CerebrumFrontal LobeGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumMedial Frontal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeCuneus,0,0,0,0,0
Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 18,0,0,0,0,0
Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 17,0,0,0,0,0
Right CerebrumOccipital LobeCuneus,0,0,0,0,0
Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 17,0,0,0,0,0
Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 18,0,0,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 30,0,0,0,0,0
Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 30,0,0,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 10,0,0,0,0,0
Left CerebrumOccipital LobeCuneusWhite Matter,0,0,0,0,0
Right CerebrumOccipital LobeCuneusWhite Matter,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 18,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 18,0,0,0,0,0
Left CerebrumLimbic LobeLingual GyrusWhite Matter,0,0,0,0,0
Left CerebrumTemporal LobeSub-GyralGray Matter,0,0,0,0,0
Right CerebrumTemporal LobeSub-GyralGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeWhite MatterCaudate Tail,0,0,0,0,0
Left CerebrumSub-lobarCaudateGray Matter,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterCaudate Tail,0,0,0,0,0
Right CerebrumSub-lobarCaudateGray Matter,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterCaudate Tail,0,0,0,0,0
Left CerebrumSub-lobarGray MatterLateral Geniculum Body,0,0,0,0,0
Left BrainstemMidbrainGray MatterMedial Geniculum Body,0,0,0,0,0
Right BrainstemMidbrainGray MatterMedial Geniculum Body,0,0,0,0,0
Right CerebrumSub-lobarGray MatterLateral Geniculum Body,0,0,0,0,0
Left CerebrumSub-lobarLentiform NucleusGray Matter,0,0,0,0,0
Right CerebrumMidbrainExtra-NuclearWhite Matter,0,0,0,0,0
Left BrainstemMidbrainWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterAnterior Commissure,0,0,0,0,0
Inter-HemisphericWhite MatterAnterior Commissure,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterAnterior Commissure,0,0,0,0,0
Left CerebrumFrontal-Temporal SpaceSuperior Temporal Gyrus,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterCorpus Callosum,0,0,0,0,0
Inter-HemisphericWhite MatterCorpus Callosum,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterCorpus Callosum,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearCerebro-Spinal Fluid,0,0,0,0,0
Right CerebrumSub-lobarClaustrumWhite Matter,0,0,0,0,0
Left CerebrumFrontal LobeSub-GyralWhite MatterCorpus Callosum,0,0,0,0,0
Right CerebrumFrontal LobeSub-GyralWhite MatterCorpus Callosum,0,0,0,0,0
Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 10,0,0,0,0,0
Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 10,0,0,0,0,0
Gray Matter,0,0,0,0,0
Left CerebrumOccipital LobeGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Occipital GyrusGray Matter,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Occipital GyrusGray Matter,0,0,0,0,0
Right CerebrumGray Matter,0,0,0,0,0
Middle Occipital GyrusGray Matter,0,0,0,0,0
Inter-HemisphericLingual Gyrus,0,0,0,0,0
Right CerebrumOccipital LobeLingual GyrusGray Matter,0,0,0,0,0
Left CerebrumLimbic LobeLingual GyrusGray Matter,0,0,0,0,0
Middle Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray Matter,0,0,0,0,0
Sub-lobarExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeCuneusGray Matter,0,0,0,0,0
Inter-HemisphericOccipital LobeGray Matter,0,0,0,0,0
Right CerebrumOccipital LobeCuneusGray Matter,0,0,0,0,0
Right CerebrumCuneusGray Matter,0,0,0,0,0
Inter-HemisphericOccipital LobeCuneusGray MatterBrodmann area 18,0,0,0,0,0
Inter-HemisphericCuneus,0,0,0,0,0
Right CerebrumOccipital LobeGray Matter,0,0,0,0,0
Inter-HemisphericOccipital LobeCuneusGray MatterBrodmann area 17,0,0,0,0,0
Left CerebrumOccipital LobeLingual GyrusGray Matter,0,0,0,0,0
Right CerebrumMiddle Occipital GyrusGray Matter,0,0,0,0,0
Inter-HemisphericOccipital LobeCuneus,0,0,0,0,0
Inter-HemisphericOccipital LobeCuneusGray Matter,0,0,0,0,0
Inter-HemisphericOccipital LobeLingual GyrusGray Matter,0,0,0,0,0
Right CerebrumMiddle Occipital Gyrus,0,0,0,0,0
Inter-HemisphericOccipital Lobe,0,0,0,0,0
Left CerebrumOccipital LobeInferior Temporal GyrusGray Matter,0,0,0,0,0
Right CerebrumOccipital LobeInferior Temporal GyrusGray Matter,0,0,0,0,0
Inferior Temporal GyrusGray Matter,0,0,0,0,0
Right CerebrumInferior Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeSub-GyralGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusGray Matter,0,0,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusGray Matter,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Temporal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Temporal GyrusGray Matter,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Culmen of Vermis,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 37,0,0,0,0,0
Right CerebrumOccipital LobeMiddle Temporal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeMiddle Temporal GyrusWhite Matter,0,0,0,0,0
Right CerebrumMiddle Temporal Gyrus,0,0,0,0,0
Right CerebellumAnterior LobeCulmenGray MatterBrodmann area 19,0,0,0,0,0
Left CerebrumTemporal LobeLingual GyrusWhite Matter,0,0,0,0,0
Left CerebrumTemporal LobeLingual GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray Matter,0,0,0,0,0
Right CerebrumTemporal LobeLingual GyrusGray MatterBrodmann area 19,0,0,0,0,0
Right CerebrumTemporal LobeLingual GyrusWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeCerebro-Spinal FluidCaudate Tail,0,0,0,0,0
Left CerebrumTemporal LobeWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeExtra-NuclearWhite Matter,0,0,0,0,0
Right Brainstem,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray Matter,0,0,0,0,0
Left BrainstemMidbrainExtra-NuclearWhite Matter,0,0,0,0,0
Right CerebrumSuperior Temporal Gyrus,0,0,0,0,0
Left CerebrumTemporal LobeInsulaGray Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterVentral Posterior Lateral Nucleus,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterVentral Posterior Medial Nucleus,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterMammillary Body,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterMammillary Body,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterVentral Posterior Medial Nucleus,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterVentral Posterior Lateral Nucleus,0,0,0,0,0
Right CerebrumSub-lobarInsulaGray Matter,0,0,0,0,0
Right CerebrumTemporal LobeInsulaGray Matter,0,0,0,0,0
Left CerebrumTemporal LobeInsulaGray MatterBrodmann area 22,0,0,0,0,0
Right CerebrumTemporal LobeInsulaGray MatterBrodmann area 22,0,0,0,0,0
Left CerebrumTemporal LobeInsulaGray MatterBrodmann area 13,0,0,0,0,0
Right CerebrumTemporal LobeInsulaGray MatterBrodmann area 13,0,0,0,0,0
Left CerebrumTemporal LobeInsula,0,0,0,0,0
Left CerebrumSub-lobarInsulaGray Matter,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterMedial Globus Pallidus,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterLateral Globus Pallidus,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterLateral Globus Pallidus,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterPutamen,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterPutamen,0,0,0,0,0
Left CerebrumSub-lobarCaudateCerebro-Spinal FluidCaudate Head,0,0,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumSub-lobarCaudateCerebro-Spinal FluidCaudate Head,0,0,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 45,0,0,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 45,0,0,0,0,0
Left CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 47,0,0,0,0,0
Left CerebrumLimbic LobeAnterior CingulateGray Matter,0,0,0,0,0
Right CerebrumLimbic LobeAnterior CingulateGray Matter,0,0,0,0,0
Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 46,0,0,0,0,0
Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 46,0,0,0,0,0
Left CerebrumFrontal LobeSub-GyralGray Matter,0,0,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 32,0,0,0,0,0
Left CerebrumFrontal LobeMedial Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 32,0,0,0,0,0
Right CerebrumFrontal LobeSuperior Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumFrontal LobeSub-GyralGray Matter,0,0,0,0,0
Left CerebrumFrontal LobeSuperior Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumFrontal LobeMedial Frontal GyrusGray Matter,0,0,0,0,0
Left CerebrumFrontal LobeMiddle Frontal GyrusGray Matter,0,0,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusGray Matter,0,0,0,0,0
Inter-HemisphericFrontal Lobe,0,0,0,0,0
Right CerebrumFrontal LobeGray Matter,0,0,0,0,0
Inter-HemisphericSub-lobarExtra-NuclearWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterPulvinar,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterPulvinar,0,0,0,0,0
Inter-HemisphericCerebro-Spinal FluidOptic Tract,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Occipital Gyrus,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Occipital Gyrus,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Occipital GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Occipital GyrusGray MatterBrodmann area 37,0,0,0,0,0
Left CerebrumTemporal LobeMiddle Occipital GyrusWhite Matter,0,0,0,0,0
Right CerebrumTemporal LobeMiddle Occipital GyrusWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 18,0,0,0,0,0
Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 18,0,0,0,0,0
Inter-HemisphericSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract,0,0,0,0,0
Right CerebrumSub-lobarSuperior Temporal GyrusGray MatterBrodmann area 22,0,0,0,0,0
Left CerebrumTemporal LobeInsulaWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterMedial Dorsal Nucleus,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterMedial Dorsal Nucleus,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract,0,0,0,0,0
Right CerebrumCerebro-Spinal FluidOptic Tract,0,0,0,0,0
Right CerebrumSub-lobarLentiform NucleusGray Matter,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract,0,0,0,0,0
Right CerebrumSub-lobarSuperior Temporal Gyrus,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterVentral Lateral Nucleus,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterVentral Lateral Nucleus,0,0,0,0,0
Right CerebrumThalamusGray Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterVentral Anterior Nucleus,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterVentral Anterior Nucleus,0,0,0,0,0
Left CerebrumFrontal-Temporal SpaceInsula,0,0,0,0,0
Left CerebrumFrontal LobeInsula,0,0,0,0,0
Right CerebrumSub-lobarInferior Frontal Gyrus,0,0,0,0,0
Inter-HemisphericSub-lobarExtra-NuclearWhite MatterCorpus Callosum,0,0,0,0,0
Right CerebrumWhite MatterCorpus Callosum,0,0,0,0,0
Right CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 45,0,0,0,0,0
Left CerebrumSub-lobarInferior Frontal Gyrus,0,0,0,0,0
Left CerebrumSub-lobarInsulaGray MatterBrodmann area 45,0,0,0,0,0
Right CerebrumSub-lobarInsulaGray MatterBrodmann area 45,0,0,0,0,0
Right CerebrumSub-lobarWhite MatterCorpus Callosum,0,0,0,0,0
Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 46,0,0,0,0,0
Inter-HemisphericFrontal LobeMedial Frontal Gyrus,0,0,0,0,0
Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 30,0,0,0,0,0
Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 30,0,0,0,0,0
Left CerebrumLimbic LobePosterior CingulateWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 30,0,0,0,0,0
Right CerebrumLimbic LobePosterior CingulateWhite Matter,0,0,0,0,0
Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 30,0,0,0,0,0
Left CerebrumOccipital LobePosterior CingulateWhite Matter,0,0,0,0,0
Left CerebrumLimbic LobePosterior Cingulate,0,0,0,0,0
Right CerebrumLimbic LobePosterior Cingulate,0,0,0,0,0
Right CerebrumOccipital LobePosterior CingulateGray MatterBrodmann area 30,0,0,0,0,0
Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 29,0,0,0,0,0
Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 29,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 41,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 41,0,0,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 42,0,0,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 42,0,0,0,0,0
Right CerebrumSub-lobarExtra-NuclearWhite MatterPulvinar,0,0,0,0,0
Left CerebrumSub-lobarExtra-NuclearWhite MatterVentral Posterior Lateral Nucleus,0,0,0,0,0
Left CerebrumTemporal LobePrecentral Gyrus,0,0,0,0,0
Left CerebrumFrontal LobePrecentral Gyrus,0,0,0,0,0
Right CerebrumFrontal LobePrecentral Gyrus,0,0,0,0,0
Right CerebrumTemporal LobePrecentral Gyrus,0,0,0,0,0
Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 6,0,0,0,0,0
Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 6,0,0,0,0,0
Right CerebrumSub-lobarThalamusGray MatterAnterior Nucleus,0,0,0,0,0
Left CerebrumFrontal LobePrecentral GyrusWhite Matter,0,0,0,0,0
Left CerebrumSub-lobarThalamusGray MatterAnterior Nucleus,0,0,0,0,0
Right CerebrumFrontal LobePrecentral GyrusWhite Matter,0,0,0,0,0
Inter-HemisphericWhite Matter,0,0,0,0,0
