"Index","Description"
420,"Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 37"
421,"Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 19"
422,"Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 37"
423,"Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 19"
424,"Right CerebrumLimbic LobeLingual GyrusWhite Matter"
425,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 19"
426,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 19"
427,"Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 19"
428,"Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 19"
429,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 30"
430,"Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 30"
431,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 30"
432,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 27"
433,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 27"
434,"Right CerebrumTemporal LobeWhite Matter"
435,"Left CerebrumSub-lobarCaudateGray MatterCaudate Tail"
436,"Right CerebrumSub-lobarCaudateGray MatterCaudate Tail"
437,"Left BrainstemMidbrainThalamusGray MatterMedial Geniculum Body"
438,"Right BrainstemMidbrainThalamusGray MatterMedial Geniculum Body"
439,"Left CerebrumSub-lobarInsulaWhite Matter"
440,"Right CerebrumMidbrain"
441,"Right CerebrumSub-lobarInsulaWhite Matter"
442,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 22"
443,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 22"
444,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 13"
445,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 22"
446,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 22"
447,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 13"
448,"Left CerebrumSub-lobarInsula"
449,"Left CerebrumSub-lobarClaustrumGray Matter"
450,"Right CerebrumSub-lobarClaustrumGray Matter"
451,"Right CerebrumSub-lobarInsula"
452,"Left CerebrumSub-lobarLentiform NucleusGray MatterLateral Globus Pallidus"
453,"Left BrainstemMidbrainGray MatterSubthalamic Nucleus"
454,"Right BrainstemMidbrainGray MatterSubthalamic Nucleus"
455,"Right CerebrumSub-lobarLentiform NucleusGray MatterLateral Globus Pallidus"
456,"Left CerebrumSub-lobarLentiform NucleusGray MatterMedial Globus Pallidus"
457,"Right CerebrumSub-lobarLentiform NucleusGray MatterMedial Globus Pallidus"
458,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 22"
459,"Right BrainstemMidbrainExtra-NuclearWhite Matter"
460,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 22"
461,"Left CerebrumSub-lobarWhite Matter"
462,"Right CerebrumSub-lobarWhite Matter"
463,"Right CerebrumTemporal LobeInsula"
464,"Left CerebrumSub-lobarCaudateGray MatterCaudate Head"
465,"Right CerebrumSub-lobarCaudateGray MatterCaudate Head"
466,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 47"
467,"Right CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 47"
468,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 47"
469,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 24"
470,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 24"
471,"Right CerebrumFrontal LobeGray MatterBrodmann area 10"
472,"Right CerebrumMedial Frontal Gyrus"
473,"Left CerebrumOccipital LobeCuneus"
474,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 18"
475,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 17"
476,"Right CerebrumOccipital LobeCuneus"
477,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 17"
478,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 18"
479,"Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 19"
480,"Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 19"
481,"Left CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 30"
482,"Right CerebrumOccipital LobeLingual GyrusGray MatterBrodmann area 30"
483,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 10"
484,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 10"
485,"Left CerebrumOccipital LobeCuneusWhite Matter"
486,"Right CerebrumOccipital LobeCuneusWhite Matter"
487,"Left CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 18"
488,"Right CerebrumOccipital LobeInferior Temporal GyrusGray MatterBrodmann area 18"
489,"Left CerebrumLimbic LobeLingual GyrusWhite Matter"
490,"Left CerebrumTemporal LobeSub-GyralGray Matter"
491,"Right CerebrumTemporal LobeSub-GyralGray Matter"
492,"Left CerebrumTemporal LobeWhite MatterCaudate Tail"
493,"Left CerebrumSub-lobarCaudateGray Matter"
494,"Left CerebrumSub-lobarExtra-NuclearWhite MatterCaudate Tail"
495,"Right CerebrumSub-lobarCaudateGray Matter"
496,"Right CerebrumSub-lobarExtra-NuclearWhite MatterCaudate Tail"
497,"Left CerebrumSub-lobarGray MatterLateral Geniculum Body"
498,"Left BrainstemMidbrainGray MatterMedial Geniculum Body"
499,"Right BrainstemMidbrainGray MatterMedial Geniculum Body"
500,"Right CerebrumSub-lobarGray MatterLateral Geniculum Body"
501,"Left CerebrumSub-lobarLentiform NucleusGray Matter"
502,"Right CerebrumMidbrainExtra-NuclearWhite Matter"
503,"Left BrainstemMidbrainWhite Matter"
504,"Left CerebrumSub-lobarExtra-NuclearWhite MatterAnterior Commissure"
505,"Inter-HemisphericWhite MatterAnterior Commissure"
506,"Right CerebrumSub-lobarExtra-NuclearWhite MatterAnterior Commissure"
507,"Left CerebrumFrontal-Temporal SpaceSuperior Temporal Gyrus"
508,"Left CerebrumSub-lobarExtra-NuclearWhite MatterCorpus Callosum"
509,"Inter-HemisphericWhite MatterCorpus Callosum"
510,"Right CerebrumSub-lobarExtra-NuclearWhite MatterCorpus Callosum"
511,"Left CerebrumSub-lobarExtra-NuclearGray MatterBrodmann area 47"
512,"Left CerebrumSub-lobarExtra-NuclearCerebro-Spinal Fluid"
513,"Right CerebrumSub-lobarClaustrumWhite Matter"
514,"Left CerebrumFrontal LobeSub-GyralWhite MatterCorpus Callosum"
515,"Right CerebrumFrontal LobeSub-GyralWhite MatterCorpus Callosum"
516,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 10"
517,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 10"
518,"Gray Matter"
519,"Left CerebrumOccipital LobeGray Matter"
520,"Left CerebrumOccipital LobeMiddle Occipital GyrusGray Matter"
521,"Right CerebrumOccipital LobeMiddle Occipital GyrusGray Matter"
522,"Right CerebrumGray Matter"
523,"Middle Occipital GyrusGray Matter"
524,"Inter-HemisphericLingual Gyrus"
525,"Right CerebrumOccipital LobeLingual GyrusGray Matter"
526,"Left CerebrumLimbic LobeLingual GyrusGray Matter"
527,"Middle Temporal GyrusGray Matter"
528,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray Matter"
529,"Left CerebrumSub-lobarThalamusGray Matter"
530,"Sub-lobarExtra-NuclearWhite Matter"
531,"Right CerebrumSub-lobarThalamusGray Matter"
532,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray Matter"
533,"Left CerebrumOccipital LobeCuneusGray Matter"
534,"Inter-HemisphericOccipital LobeGray Matter"
535,"Right CerebrumOccipital LobeCuneusGray Matter"
536,"Right CerebrumCuneusGray Matter"
537,"Inter-HemisphericOccipital LobeCuneusGray MatterBrodmann area 18"
538,"Inter-HemisphericCuneus"
539,"Right CerebrumOccipital LobeGray Matter"
540,"Inter-HemisphericOccipital LobeCuneusGray MatterBrodmann area 17"
541,"Left CerebrumOccipital LobeLingual GyrusGray Matter"
542,"Right CerebrumMiddle Occipital GyrusGray Matter"
543,"Inter-HemisphericOccipital LobeCuneus"
544,"Inter-HemisphericOccipital LobeCuneusGray Matter"
545,"Inter-HemisphericOccipital LobeLingual GyrusGray Matter"
546,"Right CerebrumMiddle Occipital Gyrus"
547,"Inter-HemisphericOccipital Lobe"
548,"Left CerebrumOccipital LobeInferior Temporal GyrusGray Matter"
549,"Right CerebrumOccipital LobeInferior Temporal GyrusGray Matter"
550,"Inferior Temporal GyrusGray Matter"
551,"Right CerebrumInferior Temporal GyrusGray Matter"
552,"Left CerebrumOccipital LobeSub-GyralGray Matter"
553,"Left CerebrumTemporal LobeInferior Temporal GyrusGray Matter"
554,"Right CerebrumTemporal LobeInferior Temporal GyrusGray Matter"
555,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray Matter"
556,"Left CerebrumOccipital LobeMiddle Temporal Gyrus"
557,"Left CerebrumOccipital LobeMiddle Temporal GyrusGray Matter"
558,"Left CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 37"
559,"Culmen of Vermis"
560,"Right CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 37"
561,"Right CerebrumOccipital LobeMiddle Temporal Gyrus"
562,"Left CerebrumOccipital LobeMiddle Temporal GyrusWhite Matter"
563,"Right CerebrumMiddle Temporal Gyrus"
564,"Right CerebellumAnterior LobeCulmenGray MatterBrodmann area 19"
565,"Left CerebrumTemporal LobeLingual GyrusWhite Matter"
566,"Left CerebrumTemporal LobeLingual GyrusGray MatterBrodmann area 19"
567,"Right CerebrumLimbic LobeParahippocampal GyrusGray Matter"
568,"Right CerebrumTemporal LobeLingual GyrusGray MatterBrodmann area 19"
569,"Right CerebrumTemporal LobeLingual GyrusWhite Matter"
570,"Left CerebrumLimbic LobeParahippocampal GyrusGray Matter"
571,"Left CerebrumTemporal LobeCerebro-Spinal FluidCaudate Tail"
572,"Left CerebrumTemporal LobeWhite Matter"
573,"Right CerebrumTemporal LobeExtra-NuclearWhite Matter"
574,"Right Brainstem"
575,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray Matter"
576,"Left BrainstemMidbrainExtra-NuclearWhite Matter"
577,"Right CerebrumSuperior Temporal Gyrus"
578,"Left CerebrumTemporal LobeInsulaGray Matter"
579,"Left CerebrumSub-lobarThalamusGray MatterVentral Posterior Lateral Nucleus"
580,"Left CerebrumSub-lobarThalamusGray MatterVentral Posterior Medial Nucleus"
581,"Left CerebrumSub-lobarThalamusGray MatterMammillary Body"
582,"Right CerebrumSub-lobarThalamusGray MatterMammillary Body"
583,"Right CerebrumSub-lobarThalamusGray MatterVentral Posterior Medial Nucleus"
584,"Right CerebrumSub-lobarThalamusGray MatterVentral Posterior Lateral Nucleus"
585,"Right CerebrumSub-lobarInsulaGray Matter"
586,"Right CerebrumTemporal LobeInsulaGray Matter"
587,"Left CerebrumTemporal LobeInsulaGray MatterBrodmann area 22"
588,"Right CerebrumTemporal LobeInsulaGray MatterBrodmann area 22"
589,"Left CerebrumTemporal LobeInsulaGray MatterBrodmann area 13"
590,"Right CerebrumTemporal LobeInsulaGray MatterBrodmann area 13"
591,"Left CerebrumTemporal LobeInsula"
592,"Left CerebrumSub-lobarInsulaGray Matter"
593,"Right CerebrumSub-lobarExtra-NuclearWhite MatterMedial Globus Pallidus"
594,"Right CerebrumSub-lobarExtra-NuclearWhite MatterLateral Globus Pallidus"
595,"Left CerebrumSub-lobarExtra-NuclearWhite MatterLateral Globus Pallidus"
596,"Left CerebrumSub-lobarExtra-NuclearWhite MatterPutamen"
597,"Right CerebrumSub-lobarExtra-NuclearWhite MatterPutamen"
598,"Left CerebrumSub-lobarCaudateCerebro-Spinal FluidCaudate Head"
599,"Left CerebrumFrontal LobeInferior Frontal GyrusGray Matter"
600,"Right CerebrumFrontal LobeInferior Frontal GyrusGray Matter"
601,"Right CerebrumSub-lobarCaudateCerebro-Spinal FluidCaudate Head"
602,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 45"
603,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 45"
604,"Left CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 47"
605,"Left CerebrumLimbic LobeAnterior CingulateGray Matter"
606,"Right CerebrumLimbic LobeAnterior CingulateGray Matter"
607,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 46"
608,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 46"
609,"Left CerebrumFrontal LobeSub-GyralGray Matter"
610,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 32"
611,"Left CerebrumFrontal LobeMedial Frontal GyrusGray Matter"
612,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 32"
613,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray Matter"
614,"Right CerebrumFrontal LobeSub-GyralGray Matter"
615,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray Matter"
616,"Right CerebrumFrontal LobeMedial Frontal GyrusGray Matter"
617,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray Matter"
618,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray Matter"
619,"Inter-HemisphericFrontal Lobe"
620,"Right CerebrumFrontal LobeGray Matter"
621,"Inter-HemisphericSub-lobarExtra-NuclearWhite Matter"
622,"Left CerebrumSub-lobarThalamusGray MatterPulvinar"
623,"Right CerebrumSub-lobarThalamusGray MatterPulvinar"
624,"Inter-HemisphericCerebro-Spinal FluidOptic Tract"
625,"Left CerebrumTemporal LobeMiddle Occipital Gyrus"
626,"Right CerebrumTemporal LobeMiddle Occipital Gyrus"
627,"Right CerebrumTemporal LobeMiddle Occipital GyrusGray MatterBrodmann area 37"
628,"Left CerebrumTemporal LobeMiddle Occipital GyrusGray MatterBrodmann area 37"
629,"Left CerebrumTemporal LobeMiddle Occipital GyrusWhite Matter"
630,"Right CerebrumTemporal LobeMiddle Occipital GyrusWhite Matter"
631,"Left CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 18"
632,"Right CerebrumLimbic LobeParahippocampal GyrusGray MatterBrodmann area 18"
633,"Inter-HemisphericSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract"
634,"Right CerebrumSub-lobarSuperior Temporal GyrusGray MatterBrodmann area 22"
635,"Left CerebrumTemporal LobeInsulaWhite Matter"
636,"Left CerebrumSub-lobarThalamusGray MatterMedial Dorsal Nucleus"
637,"Right CerebrumSub-lobarThalamusGray MatterMedial Dorsal Nucleus"
638,"Left CerebrumSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract"
639,"Right CerebrumCerebro-Spinal FluidOptic Tract"
640,"Right CerebrumSub-lobarLentiform NucleusGray Matter"
641,"Right CerebrumSub-lobarExtra-NuclearCerebro-Spinal FluidOptic Tract"
642,"Right CerebrumSub-lobarSuperior Temporal Gyrus"
643,"Left CerebrumSub-lobarThalamusGray MatterVentral Lateral Nucleus"
644,"Right CerebrumSub-lobarThalamusGray MatterVentral Lateral Nucleus"
645,"Right CerebrumThalamusGray Matter"
646,"Left CerebrumSub-lobarThalamusGray MatterVentral Anterior Nucleus"
647,"Right CerebrumSub-lobarThalamusGray MatterVentral Anterior Nucleus"
648,"Left CerebrumFrontal-Temporal SpaceInsula"
649,"Left CerebrumFrontal LobeInsula"
650,"Right CerebrumSub-lobarInferior Frontal Gyrus"
651,"Inter-HemisphericSub-lobarExtra-NuclearWhite MatterCorpus Callosum"
652,"Right CerebrumWhite MatterCorpus Callosum"
653,"Right CerebrumSub-lobarInferior Frontal GyrusGray MatterBrodmann area 45"
654,"Left CerebrumSub-lobarInferior Frontal Gyrus"
655,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 45"
656,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 45"
657,"Right CerebrumSub-lobarWhite MatterCorpus Callosum"
658,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 46"
659,"Inter-HemisphericFrontal LobeMedial Frontal Gyrus"
660,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 30"
661,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 30"
662,"Left CerebrumLimbic LobePosterior CingulateWhite Matter"
663,"Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 30"
664,"Right CerebrumLimbic LobePosterior CingulateWhite Matter"
665,"Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 30"
666,"Left CerebrumOccipital LobePosterior CingulateWhite Matter"
667,"Left CerebrumLimbic LobePosterior Cingulate"
668,"Right CerebrumLimbic LobePosterior Cingulate"
669,"Right CerebrumOccipital LobePosterior CingulateGray MatterBrodmann area 30"
670,"Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 29"
671,"Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 29"
672,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 41"
673,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 41"
674,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 42"
675,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 42"
676,"Right CerebrumSub-lobarExtra-NuclearWhite MatterPulvinar"
677,"Left CerebrumSub-lobarExtra-NuclearWhite MatterVentral Posterior Lateral Nucleus"
678,"Left CerebrumTemporal LobePrecentral Gyrus"
679,"Left CerebrumFrontal LobePrecentral Gyrus"
680,"Right CerebrumFrontal LobePrecentral Gyrus"
681,"Right CerebrumTemporal LobePrecentral Gyrus"
682,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 6"
683,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 6"
684,"Right CerebrumSub-lobarThalamusGray MatterAnterior Nucleus"
685,"Left CerebrumFrontal LobePrecentral GyrusWhite Matter"
686,"Left CerebrumSub-lobarThalamusGray MatterAnterior Nucleus"
687,"Right CerebrumFrontal LobePrecentral GyrusWhite Matter"
688,"Inter-HemisphericWhite Matter"
689,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 44"
690,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 44"
691,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 44"
692,"Left CerebrumSub-lobarCaudateGray MatterCaudate Body"
693,"Right CerebrumSub-lobarCaudateGray MatterCaudate Body"
694,"Left CerebrumLimbic LobeAnterior CingulateWhite MatterCorpus Callosum"
695,"Right CerebrumLimbic LobeAnterior CingulateWhite MatterCorpus Callosum"
696,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 46"
697,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 46"
698,"Left CerebrumMiddle Occipital Gyrus"
699,"Left CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 19"
700,"Right CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 19"
701,"Right CerebrumOccipital LobeMiddle Temporal GyrusWhite Matter"
702,"Left CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 39"
703,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 39"
704,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 39"
705,"Right CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 39"
706,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 23"
707,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 23"
708,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 39"
709,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 39"
710,"Inter-HemisphericLimbic LobePosterior Cingulate"
711,"Left CerebrumLimbic LobeExtra-NuclearWhite MatterCorpus Callosum"
712,"Right CerebrumLimbic LobeExtra-NuclearWhite MatterCorpus Callosum"
713,"Left CerebrumLimbic LobeSub-GyralWhite MatterCorpus Callosum"
714,"Inter-HemisphericLimbic LobeExtra-NuclearWhite MatterCorpus Callosum"
715,"Right CerebrumLimbic LobeSub-GyralWhite MatterCorpus Callosum"
716,"Superior Temporal Gyrus"
717,"Left CerebrumTemporal LobeTransverse Temporal GyrusWhite Matter"
718,"Right CerebrumTemporal LobeTransverse Temporal GyrusWhite Matter"
719,"Right CerebrumTemporal LobeTransverse Temporal GyrusGray MatterBrodmann area 41"
720,"Left CerebrumTemporal LobeTransverse Temporal GyrusGray MatterBrodmann area 41"
721,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 41"
722,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 41"
723,"Left CerebrumSub-lobarTransverse Temporal GyrusGray MatterBrodmann area 41"
724,"Left CerebrumSub-lobarTransverse Temporal GyrusWhite Matter"
725,"Left CerebrumSub-lobarThalamusGray MatterLateral Posterior Nucleus"
726,"Right CerebrumSub-lobarThalamusGray MatterLateral Posterior Nucleus"
727,"Right CerebrumTemporal LobeTransverse Temporal GyrusGray MatterBrodmann area 42"
728,"Left CerebrumTemporal LobeTransverse Temporal Gyrus"
729,"Left CerebrumTemporal LobeTransverse Temporal GyrusGray MatterBrodmann area 42"
730,"Right CerebrumTemporal LobeTransverse Temporal Gyrus"
731,"Right CerebrumTemporal LobePrecentral GyrusWhite Matter"
732,"Left CerebrumFrontal LobeTransverse Temporal GyrusWhite Matter"
733,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 13"
734,"Left CerebrumSub-lobarPrecentral GyrusGray MatterBrodmann area 13"
735,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 13"
736,"Left CerebrumTransverse Temporal Gyrus"
737,"Left CerebrumTemporal LobePrecentral GyrusWhite Matter"
738,"Left CerebrumTemporal LobePrecentral GyrusGray MatterBrodmann area 43"
739,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 43"
740,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 43"
741,"Right CerebrumTemporal LobePrecentral GyrusGray MatterBrodmann area 42"
742,"Left CerebrumTemporal LobePrecentral GyrusGray MatterBrodmann area 42"
743,"Left CerebrumPrecentral Gyrus"
744,"Inter-HemisphericSub-lobarLateral VentricleCerebro-Spinal Fluid"
745,"Right CerebrumPrecentral Gyrus"
746,"Left CerebrumFrontal LobeInsulaWhite Matter"
747,"Right CerebrumFrontal LobeInsulaWhite Matter"
748,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 44"
749,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 44"
750,"Left CerebrumLimbic LobeExtra-Nuclear"
751,"Right CerebrumLimbic LobeExtra-Nuclear"
752,"Inter-HemisphericLimbic LobeAnterior Cingulate"
753,"Left CerebrumMiddle Frontal Gyrus"
754,"Right CerebrumGray MatterBrodmann area 10"
755,"Inter-HemisphericFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 10"
756,"Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 31"
757,"Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 31"
758,"Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 18"
759,"Left CerebrumLimbic LobePosterior CingulateGray Matter"
760,"Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 18"
761,"Right CerebrumLimbic LobePosterior CingulateGray Matter"
762,"Left CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 23"
763,"Right CerebrumLimbic LobePosterior CingulateGray MatterBrodmann area 23"
764,"Left CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 22"
765,"Left CerebrumSuperior Temporal GyrusGray MatterBrodmann area 22"
766,"Right CerebrumOccipital LobeMiddle Temporal GyrusGray MatterBrodmann area 22"
767,"Left CerebrumOccipital LobeSuperior Temporal GyrusGray MatterBrodmann area 22"
768,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 41"
769,"Right CerebrumTemporal LobeInsulaWhite Matter"
770,"Left CerebrumTemporal LobeInsulaGray MatterBrodmann area 41"
771,"Right CerebrumTemporal LobeInsulaGray MatterBrodmann area 41"
772,"Left CerebrumTemporal LobePostcentral Gyrus"
773,"Left CerebrumParietal LobePostcentral Gyrus"
774,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 40"
775,"Left CerebrumParietal LobeInsulaWhite Matter"
776,"Left CerebrumSub-lobarExtra-NuclearWhite MatterPulvinar"
777,"Right CerebrumParietal LobeInsulaWhite Matter"
778,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 40"
779,"Right CerebrumTemporal LobePostcentral Gyrus"
780,"Right CerebrumParietal LobeSuperior Temporal Gyrus"
781,"Right CerebrumSub-lobarInsulaGray MatterBrodmann area 40"
782,"Right CerebrumParietal LobePostcentral Gyrus"
783,"Left CerebrumParietal LobeSuperior Temporal Gyrus"
784,"Left CerebrumParietal LobePostcentral GyrusWhite Matter"
785,"Left CerebrumSub-lobarInsulaGray MatterBrodmann area 40"
786,"Right CerebrumParietal LobePostcentral GyrusWhite Matter"
787,"Left CerebrumSub-lobarThalamusGray MatterLateral Dorsal Nucleus"
788,"Right CerebrumSub-lobarThalamusGray MatterLateral Dorsal Nucleus"
789,"Left CerebrumPostcentral Gyrus"
790,"Left CerebrumSub-lobarThalamusGray MatterMidline Nucleus"
791,"Right CerebrumSub-lobarThalamusGray MatterMidline Nucleus"
792,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 43"
793,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 43"
794,"Left CerebrumParietal LobePostcentral GyrusGray Matter"
795,"Right CerebrumParietal LobePostcentral GyrusGray Matter"
796,"Left CerebrumParietal LobeSub-GyralWhite Matter"
797,"Right CerebrumParietal LobeSub-GyralGray MatterBrodmann area 43"
798,"Right CerebrumParietal LobeSub-GyralWhite Matter"
799,"Left CerebrumParietal Lobe"
800,"Left CerebrumParietal LobePrecentral GyrusWhite Matter"
801,"Left CerebrumParietal LobeExtra-NuclearWhite Matter"
802,"Right CerebrumParietal LobePrecentral GyrusWhite Matter"
803,"Left CerebrumParietal LobePrecentral Gyrus"
804,"Left CerebrumParietal LobePrecentral GyrusGray MatterBrodmann area 4"
805,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 4"
806,"Right CerebrumParietal LobePrecentral GyrusGray MatterBrodmann area 4"
807,"Right CerebrumParietal LobePrecentral Gyrus"
808,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 4"
809,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 6"
810,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 6"
811,"Left CerebrumInferior Frontal Gyrus"
812,"Middle Frontal Gyrus"
813,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 9"
814,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 9"
815,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 9"
816,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 9"
817,"Left CerebrumSuperior Frontal Gyrus"
818,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 19"
819,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 19"
820,"Left CerebrumTemporal LobeMiddle Occipital GyrusGray MatterBrodmann area 19"
821,"Left CerebrumOccipital LobePrecuneusWhite Matter"
